name,country,url,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,image_url
zorte,Russia,https://www.hltv.org/stats/players/15662/zorte,"forZe,Unique,Unique",733,19569,2395,1.20,1.11,14260,https://img-cdn.hltv.org/playerbodyshot/dHdSUQSZf7PKOTZ-C15csw.png?ixlib=java-2.1.0&w=400&s=82271b93428def0bf60a1e747b332da1
HEN1,Brazil,https://www.hltv.org/stats/players/8565/hen1,"Immortals,FURIA,Luminosity",1101,28598,3548,1.21,1.10,20188,https://img-cdn.hltv.org/playerbodyshot/Fpqf9U811vPu2k3mqdwzGN.png?ixlib=java-2.1.0&w=400&s=d9398cb1d4482787eceaa14471724a24
oSee,United States,https://www.hltv.org/stats/players/13249/osee,"Extra Salt,Singularity,Cloud9",1090,28281,3348,1.19,1.11,21020,https://img-cdn.hltv.org/playerbodyshot/Bq-o0nulU4G2xOGoLp5AfH.png?ixlib=java-2.1.0&w=400&s=e11427343924455fd4c5ce888f32f521
erkaSt,Mongolia,https://www.hltv.org/stats/players/11141/erkast,"Grayhound,TIGER,Immunity",859,22286,2504,1.17,1.12,17206,https://img-cdn.hltv.org/playerbodyshot/YmUCbh94rjdPEgTimOBpzq.png?ixlib=java-2.1.0&w=400&s=f1479d1092df40896b9041c92f07e34e
mertz,Denmark,https://www.hltv.org/stats/players/9895/mertz,"North Academy,Heroic,Heroic,North,North,Nordavind,Singularity",955,25333,2594,1.16,1.10,19077,https://img-cdn.hltv.org/playerbodyshot/LAuIUaxn74VppmmRLQf17p.png?ixlib=java-2.1.0&w=400&s=8fb8a2efc8838baf3da5b1538ca7d933
JUGi,Denmark,https://www.hltv.org/stats/players/8783/jugi,"Heroic,Heroic,OpTic,Tricked,North,North",940,24427,2676,1.18,1.09,17527,https://img-cdn.hltv.org/playerbodyshot/OmmAGT5fCBKZD3mD1IIs5b.png?ixlib=java-2.1.0&w=400&s=a149b847c778a8f5e8f9826b0da15dc9
ropz,Estonia,https://www.hltv.org/stats/players/11816/ropz,MOUZ,1136,30046,3748,1.20,1.12,22250,https://img-cdn.hltv.org/playerbodyshot/l_IS_AAkos3MIvUkU6p4qP.png?ixlib=java-2.1.0&w=400&s=374f67d6607b5a62de3198207477b06a
smooya,United Kingdom,https://www.hltv.org/stats/players/11271/smooya,"BIG,BIG,Movistar Riders,Epsilon",888,23515,3849,1.26,1.18,18466,https://img-cdn.hltv.org/playerbodyshot/Xpddy-1k98gMLvnk6ELHsH.png?ixlib=java-2.1.0&w=400&s=f383a1614102e56bde1323e32357aaf3
ottoNd,Finland,https://www.hltv.org/stats/players/11283/ottond,"HAVU,Valiance,CR4ZY,c0ntact",855,22591,2642,1.19,1.11,16712,https://img-cdn.hltv.org/playerbodyshot/1E3a_GqYtgQ5ClctFID0dm.png?ixlib=java-2.1.0&w=400&s=9e72d4e941bc97ec03faaa2b2b11a8e9
INS,Australia,https://www.hltv.org/stats/players/11140/ins,"ORDER,ORDER,Renegades,Chiefs,Tainted Minds",946,23988,2611,1.17,1.12,18179,https://img-cdn.hltv.org/playerbodyshot/O6qr_DKB8u19ZcUrWAGuO_.png?ixlib=java-2.1.0&w=400&s=58e31d77f080930474e9babc31a200a5
